stat_id,label,value,source_url,last_updated
federal_funding,NIH funding (2020-2024),$4.55B,https://www.houston.org/why-houston/industries/life-sciences-biotechnology/,8/7/2026
state_funding,DPRIT & CPRIT state research initiatives,"DPRIT - $3B allocated; CPRIT - $6B allocated, $4B awarded",https://dprit.texas.gov,8/7/2026
infrastructure,Dedicated life science space,8M+ sq ft,https://www.houston.org/why-houston/industries/life-sciences-biotechnology/,8/7/2026
infrastructure,Life science and biotech companies in the Houston region,1100+,https://www.houston.org/why-houston/industries/life-sciences-biotechnology/,8/7/2026
